advisor_id,advisor_name,firm_name,firm_type,region,aum_segment,client_type,assigned_rm_id,activity_count,avg_engagement,opp_count,committed_capital,expected_pipeline,engagement_score_norm,aum_score_norm,conv_prob_norm,product_fit_norm,recency_norm,priority_score,priority_tier,recommended_next_action,recommended_asset_class,estimated_commitment_opportunity
A0007,Melissa Harris,Crown Endowment,Institutional Investor,Midwest,5B+,Institutional,RM004,7.0,81.14285714285714,1.0,139250000.0,145000000.0,0.8114285714285714,0.95,1.0,0.75,0.9642857142857143,0.8899,High,Portfolio Review Conversation,Private Credit,216245700
A0400,Kenneth Nguyen,Crown Private Bank,Private Bank,Northeast,5B+,Wealth,RM006,28.0,86.89285714285714,5.0,375750000.0,1034750000.0,0.8689285714285714,0.95,0.55,1.0,0.9230769230769231,0.8505,High,Portfolio Review Conversation,Private Credit,206671500
A0319,Ashley Torres,Crescent Private Capital,Family Office,Northeast,5B+,Wealth,RM014,9.0,89.44444444444444,8.0,381500000.0,1397500000.0,0.8944444444444444,0.95,0.4625,1.0,0.9752747252747253,0.8459,High,Portfolio Review Conversation,Private Credit,205553700
A0150,Betty Harris,Summit Private Capital,Family Office,Northeast,5B+,Wealth,RM006,40.0,74.9,3.0,164250000.0,496750000.0,0.7490000000000001,0.95,0.6666666666666667,1.0,0.9340659340659341,0.8389,High,Portfolio Review Conversation,Real Estate,158552100
A0122,Ronald Murphy,Halcyon Capital Advisors,RIA,West,1B-5B,Wealth,RM006,6.0,90.66666666666667,5.0,51000000.0,174250000.0,0.9066666666666667,0.8,0.72,0.75,0.9258241758241759,0.8211,High,Portfolio Review Conversation,Private Equity,62352281
A0323,Betty Flores,Beacon Private Wealth,Private Bank,Southeast,1B-5B,Wealth,RM016,68.0,73.20588235294117,2.0,0.0,103000000.0,0.7320588235294118,0.8,0.75,1.0,0.9917582417582418,0.8188,High,Schedule Due Diligence Meeting,Private Credit,48360375
A0260,Jason Goldberg,Northstar Global Markets,Wirehouse,West,5B+,Wealth,RM001,20.0,77.2,1.0,0.0,220250000.0,0.772,0.95,0.5,1.0,0.9505494505494505,0.8142,High,Schedule Due Diligence Meeting,Private Credit,153883800
A0149,Ryan Smith,Atlas Private Bank,Private Bank,Northeast,5B+,Wealth,RM014,12.0,80.5,5.0,0.0,719250000.0,0.805,0.95,0.42,1.0,0.9917582417582418,0.8122,High,Relationship Manager Follow-up,Private Credit,153505800
A0228,Emily Sanchez,Riverstone Private Bank,Private Bank,Southwest,5B+,Wealth,RM009,22.0,74.45454545454545,1.0,0.0,160500000.0,0.7445454545454545,0.95,0.5,1.0,0.989010989010989,0.8098,High,Schedule Due Diligence Meeting,Private Credit,153052200
A0115,Amanda Scott,Meridian Family Office,Family Office,West,5B+,Wealth,RM012,23.0,72.43478260869566,6.0,193750000.0,1043500000.0,0.7243478260869566,0.95,0.5416666666666666,1.0,0.9532967032967032,0.8085,High,Portfolio Review Conversation,Real Estate,152806500
A0198,Lisa Thompson,Eaglewood Private Wealth,Private Bank,Northeast,5B+,Wealth,RM014,18.0,73.72222222222223,4.0,0.0,411750000.0,0.7372222222222223,0.95,0.5,1.0,0.9560439560439561,0.8043,High,Schedule Due Diligence Meeting,Private Credit,152012700
A0006,Jennifer Jackson,Bayview Trust & Banking,Private Bank,West,1B-5B,Wealth,RM012,25.0,85.0,5.0,140500000.0,302750000.0,0.85,0.8,0.49,1.0,0.9807692307692307,0.8011,High,Portfolio Review Conversation,Real Estate,60833531
A0211,Kevin Johnson,Beacon Trust & Banking,Private Bank,Northeast,1B-5B,Wealth,RM006,36.0,83.22222222222223,7.0,66750000.0,521500000.0,0.8322222222222223,0.8,0.5142857142857143,1.0,0.9807692307692307,0.8006,High,Portfolio Review Conversation,Private Credit,60795562
A0398,Deborah Flores,Vanguard Capital Advisors,RIA,Southeast,1B-5B,Wealth,RM007,42.0,83.54761904761905,1.0,0.0,41000000.0,0.8354761904761905,0.8,0.5,1.0,0.9862637362637363,0.7993,High,Schedule Due Diligence Meeting,Private Credit,60696844
